file,treatment,replicate,egg_mass_count,number_nymphs_per_replicate,adult_molts_per_replicate,surviviorship,sex_ratio,nb.calls,intercall.dur,dom.freq,whine.dur,pulse.rate,nb.pulse,mass,temp
AD2_Male_6_final.txt,Low,AD2,38,30,15,50,1.5,5,2.588823,195.7117384,0.492734,29.71128063,4,4.622,24
AD3_Male_1_final.txt,Low,AD3,38,30,16,53.33333333,0.6,6,2.199799,187.9267503,0.666827,20.64430888,6,4.064,24
AD3_Male_2_final.txt,Low,AD3,38,30,16,53.33333333,0.6,5,2.290251,189.9936669,0.451928,22.78838704,5,4.21,24.5
B3_Male_1_final.txt,High,B3,74,30,5,16.66666667,0.25,2,3.066099,178.2213509,0.658526,22.42454142,5,4.638,24
D1_Male_1_final.txt,High,D1,44,30,25,83.33333333,0.923076923,5,2.090822,191.9263003,0.729213,27.9551376,5,5.28,25
D1_Male_2_final.txt,High,D1,44,30,25,83.33333333,0.923076923,5,1.822149,196.5838102,0.571661,27.05512675,7,5.284,25.5
D1_Male_3_final.txt,High,D1,44,30,25,83.33333333,0.923076923,3,2.324228,200.0489008,1.025297,,1,4.56,25
D1_Male_4_final.txt,High,D1,44,30,25,83.33333333,0.923076923,3,1.948662,189.4497537,0.501315,23.45325766,6,4.57,24.5
D1_Male_5_final.txt,High,D1,44,30,25,83.33333333,0.923076923,4,2.757167,176.4775089,0.935135,22.68499614,5,5.15,24
D1_Male_6_final.txt,High,D1,44,30,25,83.33333333,0.923076923,3,2.192675,184.0867253,0.832471,30.93006712,5,n/a,24
D1_male_7_final.txt,High,D1,44,30,25,83.33333333,0.923076923,3,2.797778,187.3048907,0.68415,31.34304968,4,n/a,24
D1_Male_8_final.txt,High,D1,44,30,25,83.33333333,0.923076923,5,2.581409,187.6642062,1.005217,23.5616774,5,5.356,24
D2_Male_1_final.txt,High,D2,44,30,17,56.66666667,1.125,5,2.02016,198.1549572,0.53279,24.86696175,5,3.984,26.5
D2_Male_2_final.txt,High,D2,44,30,17,56.66666667,1.125,3,3.746508,193.1330472,0.3439,26.09206149,6,4.552,26.5
